running_number,section,section_id,subsection,subsection_id,subsection_description,element,element_id,element_placeholder,element_type,details,details_open,suggestions,hide_if,bird_default,optional,inference,prediction,projection,version,odmap_v1,eval_sdmEvaluationTool,eval_araujo,eval_quant,omit
1,Overview,o,AUTHORSHIP,o_authorship,Use this section to upload all authors and collaborators that participated in model implementation and also the main title of the project/initiative/study.,Study title,o_authorship_1,Study title,text_details,"The name of your modelling project (e.g., Canada-wide boreal landbird models, version 4).",0,,,,0,1,1,1,v1,1,1,1,0,0
2,Overview,o,AUTHORSHIP,o_authorship,,Author names,o_authorship_2,Author names,editable_dt,Email and affiliation are only required for the first author.,0,"first name, middle initial, last name, affiliation, email",,,0,1,1,1,v1,1,1,1,0,0
4,Overview,o,AUTHORSHIP,o_authorship,,Study link,o_authorship_4,Study URL,text_details,"DOI (e.g., https://orcid.org/0000-0001-7337-1740) or website (e.g., https://borealbirds.ca/)",0,,,,0,1,1,1,v1,1,0,1,0,0
1,Overview,o,MODEL OBJECTIVE,o_objective,"Select the main objective of the model (explanation, prediction and/or projection) &  provide a releant summary for multiple users (e.g., aim, utility of hte model, data used, methods, results, aplications). Some of the fields will be hide after selecting the objective. For instace, if you select 'predictions' all fieds in the section '2. Data/Transfer' are not required for this objective, so these fields will be hide). If several or all of these objectives apply, we suggest to regard these as nested (explanation < mapping < transfer). Nesting accounts for the fact that transfer should not be attempted without first having a thorough understanding of the model (inference) (Zurell et al (2020).",Model objective,o_objective_1,What is the primary purpose of your model?,option,,0,", inference and explanation, mapping and interpolation, forecast and projection",,,0,1,1,1,v1,1,0,0,0,0
2,Overview,o,MODEL OBJECTIVE,o_objective,,Model summary,o_objective_2,"What would you like evaluators and users to know about your model in order to understand your model results? Provide a high-level summary of your model, including motivation and context.",text_details,"E.g., BAM models were produced to describe the distribution and abundance of breeding landbirds across boreal Canada for population size estimation. Models were produced using machine learning for 143 species using a modular approach, with separate models constructured for each bird conservation region. Predictions are provided at a spatial resolution of 1Km2, with regions blended together for wall-to-wall predictions across Canada.",0,,,,0,1,1,1,v2,0,1,1,0,0
3,Overview,o,MODEL OBJECTIVE,o_objective,,Target output,o_objective_3,What are the outputs of your model?,suggestion,,0,"species absolute abundances, species relative abundances, suitable habitats, uncertainty, unsuitable habitats",,,0,1,1,1,v1,1,0,0,1,0
4,Overview,o,MODEL OBJECTIVE,o_objective,,Derived output,o_objective_4,Select any derived outputs that you build from your model predictions.,suggestion,,0,"none, species habitat index (SHI), species protection index (SPI)",,,0,1,1,1,v2,0,0,0,1,0
2,Overview,o,MODEL APPLICATION,o_utility,,Model purpose,o_utility_2,Why did you build this model? Describe the application(s) that the model is intended to be used for.,text_details,"E.g., Population assessment. Please see <a href=""https://docs.google.com/spreadsheets/d/1F4KWF4D7ybgK9NFNKoezpeTCrzvYLtUPqGELh2AzaE0/edit?usp=sharing"" target=""_blank"">this table</a> for examples of model purposes.",1,,,,0,1,1,1,v2,0,1,1,0,0
3,Overview,o,MODEL APPLICATION,o_utility,,Inappropriate model uses,o_utility_3,What application(s) should this model NOT be used for? Explain.,text_details,"Please see <a href=""https://docs.google.com/spreadsheets/d/1F4KWF4D7ybgK9NFNKoezpeTCrzvYLtUPqGELh2AzaE0/edit?usp=sharing"" target=""_blank"">this table</a> for examples of model purposes.",1,,,,0,1,1,1,v2,0,1,1,0,0
1,Overview,o,HYPOTHESES,o_concept,,Hypotheses,o_concept_1,Describe any a priori hypotheses about species-environment relationships that informed the model.,text,,0,,,,0,1,1,1,v1,1,1,1,0,0
