"","component","type","order","part","english","french","followup_level","values"
"1","app","yes_no",1,1,"Are you sure that you want to quit the evaluation? If you quit, you can still continue the evaluation later.","",0,"Yes, No"
"2","app","simple_text",1,2,"Describe the reason why you do not wish to continue the evaluation.","",0,""
"3","spatial_prediction","spatial",1,0,"Identify the areas on the map where predictions are inaccurate.","",0,"Severe over, Moderate over, Accurate, Moderate under, Severe under, Unknown"
"4","spatial_prediction","spatial",2,0,"Identify areas on the map where uncertainty does not align with your understanding of data limitations, known habitat complexities, or other sources of uncertainty.","",0,"Too high, Accurate, Unknown"
"5","model_fit","ordinal",1,0,"How concerned are you about the adequacy or appropriateness of the validation metrics?","",0,"Extremely, Very, Moderately, Slightly, Not at all, Uncertain"
"6","model_fit","simple_text",2,0,"What are the metrics that should be used and why?","",0,""
"7","model_fit","simple_text",3,0,"What other concerns do you have about model performance?","",0,""
"8","observations","spatial",1,0,"Are there areas where you are concerned about potential inaccuracies in the data? Identify areas with potential inaccuracies in the data.","",0,"Very inaccuracies, Moderately inaccuracies, Accurate, Unknown"
"9","observations","spatial",2,0,"Are there areas where this species is not sufficiently sampled? Identify areas that are not sufficiently sampled.","",0,"Very undersampled, Moderately undersampled, Accurate, Unknown"
"10","observations","ordinal",3,1,"How concerned are you about the distribution of counts?","",0,"Extremely, Very, Moderately, Slightly, Not at all, Uncertain"
"11","observations","simple_text",3,2,"If so, explain. What is an appropriate truncation value (i.e. highest count)?","",0,""
"12","observations","ordinal",4,1,"How concerned are you about the temporal distribution of detections?","",0,"Extremely, Very, Moderately, Slightly, Not at all, Uncertain"
"13","observations","simple_text",4,2,"If so, explain. What is an appropriate truncation value (i.e. minimum year)?","",0,""
"14","observations","ordinal",5,0,"How concerned are you about the description and treatment of potential biases in the data, as described in the model metadata?","",0,"Extremely, Very, Moderately, Slightly, Not at all, Uncertain"
"15","model_metadata","ordinal",1,0,"Are you concerned about the description and treatment of predictor data, as described in the model metadata.","",0,"Extremely, Very, Moderately, Slightly, Not at all, Uncertain"
"16","predictor_metadata","ordinal",1,0,"How concerned are you about missing predictors?","",0,"Extremely, Very, Moderately, Slightly, Not at all, Uncertain"
"17","predictor_metadata","simple_text",2,0,"What predictors are missing and why?","",0,""
"18","predictor_metadata","ordinal",3,0,"How concerned are you about superfluous or inappropriate predictors?","",0,"Extremely, Very, Moderately, Slightly, Not at all, Uncertain"
"19","predictor_metadata","simple_text",4,0,"Which predictors should be removed and why?","",0,""
"20","predictor_raster","ordinal",1,1,"How concerned are you about inaccuracy in the model predictors?","",0,"Extremely, Very, Moderately, Slightly, Not at all, Uncertain"
"21","predictor_raster","simple_text",1,2,"If so, describe the predictor(s) and the areas of concern.","",0,""
"22","predictor_raster","ordinal",2,0,"How concerned are you about the spatial resolution of the predictor variables?","",0,"Extremely, Very, Moderately, Slightly, Not at all, Uncertain"
"23","model_summary","ordinal",1,0,"How concerned are you about missing predictor interactions or nonlinear relationships?","",0,"Extremely, Very, Moderately, Slightly, Not at all, Uncertain"
"24","model_summary","simple_text",2,0,"What interactions or nonlinear relationships are missing?","",0,""
"25","model_summary","ordinal",3,0,"How concerned are your about the reported relative importance of predictors?","",0,"Extremely, Very, Moderately, Slightly, Not at all, Uncertain"
"26","model_summary","simple_text",4,0,"Which predictors would you expect to be more or less important and why?","",0,""
"27","model_summary","ordinal",5,0,"How concerned are you about the appropriateness of the modeling algorithm for the model objectives and application?","",0,"Extremely, Very, Moderately, Slightly, Not at all, Uncertain"
"28","model_summary","ordinal",6,0,"How concerned are you about how well the modelling framework addresses important statistical assumptions?","",0,"Extremely, Very, Moderately, Slightly, Not at all, Uncertain"
"29","model_summary","ordinal",7,0,"How concerned are you about how well important biological assumptions are explained and justified?","",0,"Extremely, Very, Moderately, Slightly, Not at all, Uncertain"
"30","model_summary","simple_text",8,0,"What other concerns or comments do you have about model complexity?","",0,""
"31","deployment_settings","simple_text",1,0,"Are there any non-target applications that you think this model is unsuitable for? Please explain.","",0,""
"32","deployment_settings","ordinal",2,0,"How concerned are you about how well suited the model is for the intended application of the model?","",0,"Extremely, Very, Moderately, Slightly, Not at all, Uncertain"
"33","deployment_settings","simple_text",3,0,"What other concerns or comments do you have about using the model for the intended model applications?","",0,""
"34","deployment_subunits","simple_text",1,0,"Describe your overall assessment regarding this species.","",0,""
"35","deployment_subunits","spatial",2,0,"Identify the areas on the map where you have hight confidence about your knowledge of the species.","",0,"Confident"
